settle_date,contract,settle_price
2025/10/31,202510F5,28444
2025/10/29,202510W5,28321
2025/10/27,202510F4,28104
2025/10/22,202510W4,27691
2025/10/17,202510F3,27383
2025/10/15,202510,27156
2025/10/13,202510F2,26874
2025/10/8,202510W2,27056
2025/10/3,202510F1,26698
2025/10/1,202510W1,26043
2025/9/26,202509F4,25572
2025/9/24,202509W4,26147
2025/9/19,202509F3,25695
2025/9/17,202509,25433
2025/9/12,202509F2,25405
2025/9/10,202509W2,25250
2025/9/5,202509F1,24434
2025/9/3,202509W1,24082
2025/8/29,202508F5,24347
2025/8/27,202508W4,24529
2025/8/22,202508F4,23854
2025/8/20,202508,23637
2025/8/15,202508F3,24342
2025/8/13,202508W2,24348
2025/8/8,202508F2,24013
2025/8/6,202508W1,23479
2025/8/1,202508F1,23456
2025/7/30,202507W5,23416
2025/7/25,202507F4,23356
2025/7/23,202507W4,23270
2025/7/18,202507F3,23323
2025/7/16,202507,23047
2025/7/11,202507F2,22744
2025/7/9,202507W2,22490
2025/7/2,202507W1,22491
2025/6/25,202506W4,22407
2025/6/18,202506,22307
2025/6/11,202506W2,22405
2025/6/4,202506W1,21580
2025/5/28,202505W4,21387
2025/5/21,202505,21848
2025/5/14,202505W2,21751
2025/5/7,202505W1,20466
2025/4/30,202504W5,20211
2025/4/23,202504W4,19583
2025/4/16,202504,19548
2025/4/9,202504W2,17430
2025/4/2,202504W1,21284
2025/3/26,202503W4,22300
2025/3/19,202503,21964
2025/3/12,202503W2,22235
2025/3/5,202503W1,22928
2025/2/26,202502W4,23371
2025/2/19,202502,23607
2025/2/12,202502W2,23315
2025/2/5,202502W1,23145
2025/2/3,202501W5,22678
2025/1/22,202501W4,23589
2025/1/15,202501,22519
2025/1/8,202501W2,23458
2025/1/2,202501W1,22733
2024/12/25,202412W4,23277
2024/12/18,202412,23105
2024/12/11,202412W2,22902
2024/12/4,202412W1,23201
2024/11/27,202411W4,22382
2024/11/20,202411,22686
2024/11/13,202411W2,22912
2024/11/6,202411W1,23261
2024/10/30,202410W5,22837
2024/10/23,202410W4,23335
2024/10/16,202410,22986
2024/10/9,202410W2,22721
2024/10/4,202410W1,22229
2024/9/25,202409W4,22749
2024/9/18,202409,21619
2024/9/11,202409W2,21098
2024/9/4,202409W1,21119
2024/8/28,202408W4,22336
2024/8/21,202408,22200
2024/8/14,202408W2,22019
2024/8/7,202408W1,21239
2024/7/31,202407W5,22239
2024/7/26,202407W4,22069
2024/7/17,202407,23680
2024/7/10,202407W2,23996
2024/7/3,202407W1,23138
2024/6/26,202406W4,22965
2024/6/19,202406,23226
2024/6/12,202406W2,22067
2024/6/5,202406W1,21491
2024/5/29,202405W5,21730
2024/5/22,202405W4,21553
2024/5/15,202405,21143
2024/5/8,202405W2,20667
2024/5/2,202405W1,20251
2024/4/24,202404W4,20149
2024/4/17,202404,20238
2024/4/10,202404W2,20810
2024/4/3,202404W1,20368
2024/3/27,202403W4,20227
2024/3/20,202403,19748
2024/3/13,202403W2,19931
2024/3/6,202403W1,19510
2024/2/29,202402W4,18993
2024/2/21,202402,18671
2024/2/15,202402W1,18632
2024/1/31,202401W5,17896
2024/1/24,202401W4,17873
2024/1/17,202401,17168
2024/1/10,202401W2,17481
2024/1/3,202401W1,17556
2023/12/27,202312W4,17883
2023/12/20,202312,17636
2023/12/13,202312W2,17449
2023/12/6,202312W1,17373
2023/11/29,202311W5,17368
2023/11/22,202311W4,17289
2023/11/15,202311,17123
2023/11/8,202311W2,16734
2023/11/1,202311W1,16060
2023/10/25,202310W4,16389
2023/10/18,202310,16426
2023/10/11,202310W2,16674
2023/10/4,202310W1,16280
2023/9/27,202309W4,16275
2023/9/20,202309,16537
2023/9/13,202309W2,16592
2023/9/6,202309W1,16743
2023/8/30,202308W5,16724
2023/8/23,202308W4,16557
2023/8/16,202308,16364
2023/8/9,202308W2,16870
2023/8/2,202308W1,16855
2023/7/26,202307W4,17154
2023/7/19,202307,17103
2023/7/12,202307W2,16914
2023/7/5,202307W1,17026
2023/6/28,202306W4,16930
2023/6/21,202306,17230
2023/6/14,202306W2,17244
2023/6/7,202306W1,16907
2023/5/31,202305W5,16602
2023/5/24,202305W4,16149
2023/5/17,202305,15953
2023/5/10,202305W2,15611
2023/5/3,202305W1,15567
2023/4/26,202304W4,15379
2023/4/19,202304,15775
2023/4/12,202304W2,15932
2023/4/6,202304W1,15795
2023/3/29,202303W5,15749
2023/3/22,202303W4,15744
2023/3/15,202303,15405
2023/3/8,202303W2,15811
2023/3/1,202303W1,15593
2023/2/22,202302W4,15433
2023/2/15,202302,15398
2023/2/8,202302W2,15615
2023/2/1,202302W1,15359
2023/1/30,202301,15450
2023/1/11,202301W2,14753
2023/1/4,202301W1,14223
2022/12/28,202212W4,14130
2022/12/21,202212,14219
2022/12/14,202212W2,14725
2022/12/7,202212W1,14669
2022/11/30,202211W5,14831
2022/11/23,202211W4,14621
2022/11/16,202211,14499
2022/11/9,202211W2,13615
2022/11/2,202211W1,13087
2022/10/26,202210W4,12741
2022/10/19,202210,12999
2022/10/12,202210W2,13090
2022/10/5,202210W1,13823
2022/9/28,202209W4,13502
2022/9/21,202209,14402
2022/9/14,202209W2,14667
2022/9/7,202209W1,14416
2022/8/31,202208W5,15078
2022/8/24,202208W4,15097
2022/8/17,202208,15452
2022/8/10,202208W2,14945
2022/8/3,202208W1,14707
2022/7/27,202207W4,14887
2022/7/20,202207,14713
2022/7/13,202207W2,14384
2022/7/6,202207W1,14015
2022/6/29,202206W5,15261
2022/6/22,202206W4,15388
2022/6/15,202206,16061
2022/6/8,202206W2,16659
2022/6/1,202206W1,16717
2022/5/25,202205W4,16155
2022/5/18,202205,16302
2022/5/11,202205W2,16028
2022/5/4,202205W1,16541
2022/4/27,202204W4,16304
2022/4/20,202204,17125
2022/4/13,202204W2,17311
2022/4/6,202204W1,17513
2022/3/30,202203W5,17759
2022/3/23,202203W4,17706
2022/3/16,202203,16937
2022/3/9,202203W2,17026
2022/3/2,202203W1,17897
2022/2/23,202202W4,18077
2022/2/16,202202,18206
2022/2/9,202202W2,18146
2022/2/7,202202W1,17882
2022/1/26,202201W4,17712
2022/1/19,202201,18217
2022/1/12,202201W2,18317
2022/1/5,202201W1,18466
2021/12/29,202112W5,18271
2021/12/22,202112W4,17816
2021/12/15,202112,17629
2021/12/8,202112W2,17881
2021/12/1,202112W1,17615
2021/11/24,202111W4,17650
2021/11/17,202111,17723
2021/11/10,202111W2,17554
2021/11/3,202111W1,17113
2021/10/27,202110W4,17059
2021/10/20,202110,16882
2021/10/13,202110W2,16370
2021/10/6,202110W1,16364
2021/9/29,202109W5,16823
2021/9/22,202109W4,16916
2021/9/15,202109,17382
2021/9/8,202109W2,17192
2021/9/1,202109W1,17484
2021/8/25,202108W4,17010
2021/8/18,202108,16785
2021/8/11,202108W2,17170
2021/8/4,202108W1,17601
2021/7/28,202107W4,17074
2021/7/21,202107,17431
2021/7/14,202107W2,17796
2021/7/7,202107W1,17799
2021/6/30,202106W5,17776
2021/6/23,202106W4,17347
2021/6/16,202106,17346
2021/6/9,202106W2,16947
2021/6/2,202106W1,17178
2021/5/26,202105W4,16636
2021/5/19,202105,16137
2021/5/12,202105W2,15901
2021/5/5,202105W1,16892
2021/4/28,202104W4,17544
2021/4/21,202104,17232
2021/4/14,202104W2,16816
2021/4/7,202104W1,16793
2021/3/31,202103W5,16444
2021/3/24,202103W4,16029
2021/3/17,202103,16177
2021/3/10,202103W2,15877
2021/3/3,202103W1,16183
2021/2/24,202102W4,16235
2021/2/17,202102,16326
2021/2/3,202102W1,15767
2021/1/27,202101W4,15749
2021/1/20,202101,15766
2021/1/13,202101W2,15760
2021/1/6,202101W1,14934
2020/12/30,202012W5,14652
2020/12/23,202012W4,14234
2020/12/16,202012,14323
2020/12/9,202012W2,14398
2020/12/2,202012W1,13981
2020/11/25,202011W4,13753
2020/11/18,202011,13756
2020/11/11,202011W2,13249
2020/11/4,202011W1,12865
2020/10/28,202010W4,12771
2020/10/21,202010,12860
2020/10/14,202010W2,12900
2020/10/7,202010W1,12759
2020/9/30,202009W5,12529
2020/9/23,202009W4,12577
2020/9/16,202009,12969
2020/9/9,202009W2,12592
2020/9/2,202009W1,12668
2020/8/26,202008W4,12799
2020/8/19,202008,12807
2020/8/12,202008W2,12659
2020/8/5,202008W1,12793
2020/7/29,202007W5,12530
2020/7/22,202007W4,12451
2020/7/15,202007,12220
2020/7/8,202007W2,12180
2020/7/1,202007W1,11702
2020/6/24,202006W4,11652
2020/6/17,202006,11520
2020/6/10,202006W2,11714
2020/6/3,202006W1,11321
2020/5/27,202005W4,11010
2020/5/20,202005,10887
2020/5/13,202005W2,10924
2020/5/6,202005W1,10757
2020/4/29,202004W5,10764
2020/4/22,202004W4,10285
2020/4/15,202004,10451
2020/4/8,202004W2,10131
2020/4/1,202004W1,9684
2020/3/25,202003W4,9625
2020/3/18,202003,9264
2020/3/11,202003W2,10907
2020/3/4,202003W1,11379
2020/2/26,202002W4,11433
2020/2/19,202002,11760
2020/2/12,202002W2,11793
2020/2/5,202002W1,11560
2020/1/30,202001W4,11436
2020/1/15,202001,12063
2020/1/8,202001W2,11840
2020/1/2,202001W1,12102
2019/12/25,201912W4,12016
2019/12/18,201912,12119
2019/12/11,201912W2,11680
2019/12/4,201912W1,11474
2019/11/27,201911W4,11641
2019/11/20,201911,11608
2019/11/13,201911W2,11476
2019/11/6,201911W1,11655
2019/10/30,201910W5,11368
2019/10/23,201910W4,11217
2019/10/16,201910,11146
2019/10/9,201910W2,10911
2019/10/2,201910W1,10953
2019/9/25,201909W4,10841
2019/9/18,201909,10960
2019/9/11,201909W2,10753
2019/9/4,201909W1,10657
2019/8/28,201908W4,10426
2019/8/21,201908,10528
2019/8/14,201908W2,10444
2019/8/7,201908W1,10383
2019/7/31,201907W5,10814
2019/7/24,201907W4,10923
2019/7/17,201907,10831
2019/7/10,201907W2,10792
2019/7/3,201907W1,10729
2019/6/26,201906W4,10665
2019/6/19,201906,10770
2019/6/12,201906W2,10620
2019/6/5,201906W1,10461
2019/5/29,201905W5,10290
2019/5/22,201905W4,10474
2019/5/15,201905,10580
2019/5/8,201905W2,10935
2019/5/2,201905W1,10999
2019/4/24,201904W4,11002
2019/4/17,201904,11005
2019/4/10,201904W2,10866
2019/4/3,201904W1,10724
