Timestamp,futures_id,contract_date,monthly_group,Open,High,Low,Close,spread,spread_per,Volume,settlement_price,open_interest,trading_session,Close_t-1,gap
2017-05-16,CDF,201705,2017-05-17,205.5,205.5,203.5,204.0,-2.0,-0.97,2765.0,204.0,1568.0,position,,
2017-05-17,CDF,201705,2017-05-17,203.5,204.0,203.0,203.5,-0.5,-0.25,905.0,0.0,770.0,position,204.0,-0.002450980392156854
2017-05-18,CDF,201706,2017-06-21,202.0,203.5,200.5,203.5,0.5,0.25,4579.0,203.5,8349.0,position,203.5,-0.0073710073710073765
2017-05-19,CDF,201706,2017-06-21,204.0,204.0,202.5,203.0,-0.5,-0.25,1554.0,203.5,8051.0,position,203.5,0.002457002457002533
2017-05-22,CDF,201706,2017-06-21,204.0,205.0,203.5,205.0,1.5,0.74,1698.0,205.0,8248.0,position,203.0,0.0049261083743843415
2017-05-23,CDF,201706,2017-06-21,205.0,207.5,205.0,205.5,0.5,0.24,3208.0,205.5,8154.0,position,205.0,0.0
2017-05-24,CDF,201706,2017-06-21,206.0,206.5,205.5,206.0,0.5,0.24,1300.0,206.0,8137.0,position,205.5,0.0024330900243310083
2017-05-25,CDF,201706,2017-06-21,206.5,207.5,206.0,207.0,1.0,0.49,4175.0,207.5,8410.0,position,206.0,0.0024271844660195274
2017-05-26,CDF,201706,2017-06-21,206.5,207.5,205.5,207.0,-0.5,-0.24,1204.0,207.0,8434.0,position,207.0,-0.0024154589371980784
2017-05-31,CDF,201706,2017-06-21,207.0,207.5,203.5,203.5,-3.5,-1.69,1840.0,203.5,8371.0,position,207.0,0.0
2017-06-01,CDF,201706,2017-06-21,204.5,207.0,204.5,206.5,3.0,1.47,3502.0,207.0,7631.0,position,203.5,0.004914004914004844
2017-06-02,CDF,201706,2017-06-21,208.0,209.0,207.5,209.0,2.0,0.97,1632.0,209.0,7353.0,position,206.5,0.007263922518159882
2017-06-03,CDF,201706,2017-06-21,209.5,209.5,208.5,209.0,0.0,0.0,314.0,209.0,7408.0,position,209.0,0.0023923444976077235
2017-06-05,CDF,201706,2017-06-21,210.0,212.0,209.5,212.0,3.0,1.44,3525.0,212.0,7091.0,position,209.0,0.004784688995215225
2017-06-06,CDF,201706,2017-06-21,211.5,212.0,210.5,210.5,-1.5,-0.71,2021.0,210.5,6642.0,position,212.0,-0.002358490566037763
2017-06-07,CDF,201706,2017-06-21,211.0,213.0,210.5,211.5,1.0,0.48,2649.0,211.5,6064.0,position,210.5,0.002375296912114022
