date,open,high,low,close,daily_ret
2017-05-16,10037.58,10058.59,9991.08,10031.49,-0.0006067199464412365
2017-05-17,10019.62,10029.62,9967.97,10013.67,-0.000593834895934231
2017-05-18,9952.64,9969.45,9895.65,9969.45,0.0016889990997364102
2017-05-19,9970.4,9979.73,9947.14,9947.62,-0.0022847628981784718
2017-05-22,9965.08,9997.26,9960.94,9997.26,0.003229276634006073
2017-05-23,9994.68,10038.2,9992.58,10007.84,0.0013167004846579289
2017-05-24,10014.15,10059.74,10014.15,10044.42,0.003022722847171311
2017-05-25,10059.91,10108.49,10059.2,10108.49,0.004829069047337375
2017-05-26,10090.18,10121.88,10072.84,10101.95,0.0011664806772526681
2017-05-31,10095.95,10116.13,10025.88,10040.72,-0.005470510452211141
2017-06-01,10064.44,10100.37,10059.93,10087.42,0.0022832865017825554
2017-06-02,10117.76,10152.53,10117.06,10152.53,0.0034365314061610697
2017-06-03,10155.56,10164.98,10140.28,10158.15,0.0002550327111454642
2017-06-05,10164.89,10226.84,10164.89,10226.84,0.006094507663142457
2017-06-06,10213.17,10221.64,10190.39,10206.18,-0.0006844104230125936
2017-06-07,10216.14,10242.39,10183.15,10209.99,-0.0006019886180103073
2017-06-08,10215.93,10235.7,10211.0,10225.78,0.0009641804515105878
2017-06-09,10238.55,10268.37,10198.8,10199.65,-0.0037993661211792595
2017-06-12,10137.04,10158.64,10109.96,10109.96,-0.0026713912542518647
2017-06-13,10109.7,10146.67,10109.7,10128.15,0.0018249799697318547
2017-06-14,10142.8,10165.31,10033.25,10072.46,-0.006934968647710704
2017-06-15,10079.14,10089.07,10046.8,10088.35,0.0009137684365929655
2017-06-16,10078.69,10159.47,10073.12,10156.73,0.007743069783870737
2017-06-19,10162.22,10250.6,10162.22,10250.6,0.008696918586686975
2017-06-20,10286.79,10354.37,10286.79,10324.46,0.0036619781292315245
2017-06-21,10310.97,10379.82,10274.75,10349.72,0.0037581333279022022
2017-06-22,10369.08,10403.36,10368.93,10399.06,0.002891288330305164
2017-06-23,10403.56,10422.33,10374.01,10377.7,-0.002485687591555097
2017-06-26,10341.86,10513.96,10341.86,10513.96,0.01664110711226008
2017-06-27,10513.0,10545.7,10489.1,10512.06,-8.941310758114884e-05
2017-06-28,10459.17,10459.17,10382.81,10390.55,-0.006560750040395247
2017-06-29,10442.18,10476.51,10390.9,10421.65,-0.001966064557400893
2017-06-30,10367.26,10395.07,10329.84,10395.07,0.002682483124760049
2017-07-03,10368.99,10412.79,10363.5,10412.79,0.004224133690938103
2017-07-04,10397.93,10421.72,10347.78,10347.78,-0.004823075362115348
2017-07-05,10352.39,10404.79,10304.74,10404.79,0.005061633110808428
2017-07-06,10380.66,10381.2,10336.32,10368.2,-0.0012003090362269209
2017-07-07,10343.3,10343.3,10294.69,10297.25,-0.00445215743524785
2017-07-10,10310.74,10331.11,10283.95,10289.91,-0.002020223572701818
2017-07-11,10313.08,10415.57,10313.08,10415.57,0.009937865312787286
2017-07-12,10396.97,10450.87,10393.54,10420.68,0.0022804720990827754
2017-07-13,10418.74,10485.28,10418.74,10460.15,0.003974568901805808
2017-07-14,10450.92,10466.34,10423.4,10443.91,-0.0006707543450720221
2017-07-17,10467.27,10490.05,10436.31,10457.54,-0.0009295642512325841
2017-07-18,10447.47,10481.26,10429.85,10481.26,0.0032342758581742626
2017-07-19,10472.81,10537.42,10472.81,10506.1,0.0031787075293068234
2017-07-20,10513.12,10534.52,10483.54,10499.36,-0.0013088407627802612
2017-07-21,10468.47,10477.72,10428.56,10436.7,-0.0030348274389665475
2017-07-24,10426.13,10461.28,10406.81,10461.28,0.0033713372075738768
2017-07-25,10455.14,10473.98,10442.85,10463.15,0.0007661303435440026
2017-07-26,10477.15,10500.11,10416.57,10419.11,-0.005539674434364206
2017-07-27,10427.83,10516.23,10427.83,10508.37,0.007723562812205431
2017-07-28,10480.67,10480.67,10410.53,10423.05,-0.005497740125392836
2017-07-31,10396.76,10427.33,10366.17,10427.33,0.002940339105644396
2017-08-01,10408.53,10470.03,10408.53,10437.29,0.0027631183269876125
2017-08-02,10479.26,10519.27,10479.26,10519.27,0.0038180176844548885
2017-08-03,10464.1,10478.62,10427.72,10469.88,0.0005523647518657082
