Code,Name,Industry,CFICode
1101,台泥,水泥工業,ESVUFR
1101B,台泥乙特,,EPNRAR
1102,亞泥,水泥工業,ESVUFR
1103,嘉泥,水泥工業,ESVUFR
1104,環泥,水泥工業,ESVUFR
1108,幸福,水泥工業,ESVUFR
1109,信大,水泥工業,ESVUFR
1110,東泥,水泥工業,ESVUFR
1201,味全,食品工業,ESVUFR
1203,味王,食品工業,ESVUFR
1210,大成,食品工業,ESVUFR
1213,大飲,食品工業,ESVUFR
1215,卜蜂,食品工業,ESVUFR
1216,統一,食品工業,ESVUFR
1217,愛之味,食品工業,ESVUFR
1218,泰山,食品工業,ESVUFR
1219,福壽,食品工業,ESVUFR
1220,台榮,食品工業,ESVUFR
1225,福懋油,食品工業,ESVUFR
1227,佳格,食品工業,ESVUFR
1229,聯華,食品工業,ESVUFR
1231,聯華食,食品工業,ESVUFR
1232,大統益,食品工業,ESVUFR
1233,天仁,食品工業,ESVUFR
1234,黑松,食品工業,ESVUFR
1235,興泰,食品工業,ESVUFR
1236,宏亞,食品工業,ESVUFR
1256,鮮活果汁-KY,食品工業,ESVUFR
1301,台塑,塑膠工業,ESVUFR
1303,南亞,塑膠工業,ESVUFR
1304,台聚,塑膠工業,ESVUFR
1305,華夏,塑膠工業,ESVUFR
1307,三芳,塑膠工業,ESVUFR
1308,亞聚,塑膠工業,ESVUFR
1309,台達化,塑膠工業,ESVUFR
1310,台苯,塑膠工業,ESVUFR
1312,國喬,塑膠工業,ESVUFR
1312A,國喬特,塑膠工業,EPNRQR
1313,聯成,塑膠工業,ESVUFR
1314,中石化,塑膠工業,ESVUFR
1315,達新,塑膠工業,ESVUFR
1316,上曜,建材營造業,ESVUFR
1319,東陽,汽車工業,ESVUFR
1321,大洋,塑膠工業,ESVUFR
1323,永裕,塑膠工業,ESVUFR
1324,地球,塑膠工業,ESVUFR
1325,恆大,塑膠工業,ESVUFR
1326,台化,塑膠工業,ESVUFR
1337,再生-KY,塑膠工業,ESVUFR
1338,廣華-KY,汽車工業,ESVUFR
1339,昭輝,汽車工業,ESVUFR
1340,勝悅-KY,塑膠工業,ESVUFR
1341,富林-KY,塑膠工業,ESVUFR
1342,八貫,其他業,ESVUFR
1402,遠東新,紡織纖維,ESVUFR
1409,新纖,紡織纖維,ESVUFR
1410,南染,紡織纖維,ESVUFR
1413,宏洲,紡織纖維,ESVUFR
1414,東和,紡織纖維,ESVUFR
1416,廣豐,其他業,ESVUFR
1417,嘉裕,紡織纖維,ESVUFR
1418,東華,紡織纖維,ESVUFR
1419,新紡,紡織纖維,ESVUFR
1423,利華,紡織纖維,ESVUFR
1432,大魯閣,運動休閒,ESVUFR
1434,福懋,紡織纖維,ESVUFR
1435,中福,其他業,ESVUFR
1436,華友聯,建材營造業,ESVUFR
1437,勤益控,其他業,ESVUFR
1438,三地開發,建材營造業,ESVUFR
1439,雋揚,建材營造業,ESVUFR
1440,南紡,紡織纖維,ESVUFR
1441,大東,紡織纖維,ESVUFR
1442,名軒,建材營造業,ESVUFR
1443,立益物流,其他業,ESVUFR
1444,力麗,紡織纖維,ESVUFR
1445,大宇,紡織纖維,ESVUFR
1446,宏和,紡織纖維,ESVUFR
1447,力鵬,紡織纖維,ESVUFR
1449,佳和,紡織纖維,ESVUFR
1451,年興,紡織纖維,ESVUFR
1452,宏益,紡織纖維,ESVUFR
1453,大將,建材營造業,ESVUFR
1454,台富,紡織纖維,ESVUFR
1455,集盛,紡織纖維,ESVUFR
1456,怡華,建材營造業,ESVUFR
1457,宜進,紡織纖維,ESVUFR
1459,聯發,紡織纖維,ESVUFR
1460,宏遠,紡織纖維,ESVUFR
1463,強盛新,紡織纖維,ESVUFR
1464,得力,紡織纖維,ESVUFR
1465,偉全,紡織纖維,ESVUFR
1466,聚隆,紡織纖維,ESVUFR
1467,南緯,紡織纖維,ESVUFR
1468,昶和,紡織纖維,ESVUFR
1470,大統新創,紡織纖維,ESVUFR
1471,首利,電子零組件業,ESVUFR
1472,三洋實業,建材營造業,ESVUFR
1473,台南,紡織纖維,ESVUFR
1474,弘裕,紡織纖維,ESVUFR
1475,業旺,紡織纖維,ESVUFR
1476,儒鴻,紡織纖維,ESVUFR
1477,聚陽,紡織纖維,ESVUFR
1503,士電,電機機械,ESVUFR
1504,東元,電機機械,ESVUFR
1506,正道,電機機械,ESVUFR
1512,瑞利,汽車工業,ESVUFR
1513,中興電,電機機械,ESVUFR
1514,亞力,電機機械,ESVUFR
1515,力山,電機機械,ESVUFR
1516,川飛,其他業,ESVUFR
1517,利奇,電機機械,ESVUFR
1519,華城,電機機械,ESVUFR
1521,大億,汽車工業,ESVUFR
1522,堤維西,汽車工業,ESVUFR
1522A,堤維西甲特,汽車工業,EPNRAR
1524,耿鼎,汽車工業,ESVUFR
1525,江申,汽車工業,ESVUFR
1526,日馳,電機機械,ESVUFR
1527,鑽全,電機機械,ESVUFR
1528,恩德,電機機械,ESVUFR
1529,樂事綠能,電機機械,ESVUFR
1530,亞崴,電機機械,ESVUFR
1531,高林股,電機機械,ESVUFR
1532,勤美,電機機械,ESVUFR
1533,車王電,汽車工業,ESVUFR
1535,中宇,電機機械,ESVUFR
1536,和大,汽車工業,ESVUFR
1537,廣隆,電機機械,ESVUFR
1538,正峰,電機機械,ESVUFR
1539,巨庭,電機機械,ESVUFR
1540,喬福,電機機械,ESVUFR
1541,錩泰,電機機械,ESVUFR
1558,伸興,電機機械,ESVUFR
1560,中砂,電機機械,ESVUFR
1563,巧新,汽車工業,ESVUFR
1568,倉佑,汽車工業,ESVUFR
1582,信錦,電子零組件業,ESVUFR
1583,程泰,電機機械,ESVUFR
1587,吉茂,汽車工業,ESVUFR
1589,永冠-KY,電機機械,ESVUFR
1590,亞德客-KY,電機機械,ESVUFR
1597,直得,電機機械,ESVUFR
1598,岱宇,運動休閒,ESVUFR
1603,華電,電器電纜,ESVUFR
1604,聲寶,電器電纜,ESVUFR
1605,華新,電器電纜,ESVUFR
1608,華榮,電器電纜,ESVUFR
1609,大亞,電器電纜,ESVUFR
1611,中電,電器電纜,ESVUFR
1612,宏泰,電器電纜,ESVUFR
1614,三洋電,電器電纜,ESVUFR
1615,大山,電器電纜,ESVUFR
1616,億泰,電器電纜,ESVUFR
1617,榮星,電器電纜,ESVUFR
1618,合機,電器電纜,ESVUFR
1626,艾美特-KY,電器電纜,ESVUFR
1702,南僑,食品工業,ESVUFR
1707,葡萄王,生技醫療業,ESVUFR
1708,東鹼,化學工業,ESVUFR
1709,和益,化學工業,ESVUFR
1710,東聯,化學工業,ESVUFR
1711,永光,化學工業,ESVUFR
1712,興農,化學工業,ESVUFR
1713,國化,化學工業,ESVUFR
1714,和桐,化學工業,ESVUFR
1717,長興,化學工業,ESVUFR
1718,中纖,化學工業,ESVUFR
1720,生達,生技醫療業,ESVUFR
1721,三晃,化學工業,ESVUFR
1722,台肥,化學工業,ESVUFR
1723,中碳,化學工業,ESVUFR
1725,元禎,化學工業,ESVUFR
1726,永記,化學工業,ESVUFR
1727,中華化,化學工業,ESVUFR
1730,花仙子,化學工業,ESVUFR
1731,美吾華,生技醫療業,ESVUFR
1732,毛寶,化學工業,ESVUFR
1733,五鼎,生技醫療業,ESVUFR
1734,杏輝,生技醫療業,ESVUFR
1735,日勝化,化學工業,ESVUFR
1736,喬山,運動休閒,ESVUFR
1737,臺鹽,食品工業,ESVUFR
1752,南光,生技醫療業,ESVUFR
1760,寶齡富錦,生技醫療業,ESVUFR
1762,中化生,生技醫療業,ESVUFR
1773,勝一,化學工業,ESVUFR
1776,展宇,化學工業,ESVUFR
1783,和康生,生技醫療業,ESVUFR
1786,科妍,生技醫療業,ESVUFR
1789,神隆,生技醫療業,ESVUFR
1795,美時,生技醫療業,ESVUFR
1802,台玻,玻璃陶瓷,ESVUFR
1805,寶徠,建材營造業,ESVUFR
1806,冠軍,玻璃陶瓷,ESVUFR
1808,潤隆,建材營造業,ESVUFR
1809,中釉,玻璃陶瓷,ESVUFR
1810,和成,玻璃陶瓷,ESVUFR
1817,凱撒衛,玻璃陶瓷,ESVUFR
1903,士紙,造紙工業,ESVUFR
1904,正隆,造紙工業,ESVUFR
1905,華紙,造紙工業,ESVUFR
1906,寶隆,造紙工業,ESVUFR
1907,永豐餘,造紙工業,ESVUFR
1909,榮成,造紙工業,ESVUFR
2002,中鋼,鋼鐵工業,ESVUFR
2002A,中鋼特,鋼鐵工業,EPRRQR
2006,東和鋼鐵,鋼鐵工業,ESVUFR
2007,燁興,鋼鐵工業,ESVUFR
2008,高興昌,鋼鐵工業,ESVUFR
2009,第一銅,鋼鐵工業,ESVUFR
2010,春源,鋼鐵工業,ESVUFR
2012,春雨,鋼鐵工業,ESVUFR
2013,中鋼構,鋼鐵工業,ESVUFR
2014,中鴻,鋼鐵工業,ESVUFR
2015,豐興,鋼鐵工業,ESVUFR
2017,官田鋼,鋼鐵工業,ESVUFR
2020,美亞,鋼鐵工業,ESVUFR
2022,聚亨,鋼鐵工業,ESVUFR
2023,燁輝,鋼鐵工業,ESVUFR
2024,志聯,鋼鐵工業,ESVUFR
2025,千興,鋼鐵工業,ESVUFR
2027,大成鋼,鋼鐵工業,ESVUFR
2028,威致,鋼鐵工業,ESVUFR
2029,盛餘,鋼鐵工業,ESVUFR
2030,彰源,鋼鐵工業,ESVUFR
2031,新光鋼,鋼鐵工業,ESVUFR
2032,新鋼,鋼鐵工業,ESVUFR
2033,佳大,鋼鐵工業,ESVUFR
2034,允強,鋼鐵工業,ESVUFR
2038,海光,鋼鐵工業,ESVUFR
2049,上銀,電機機械,ESVUFR
2059,川湖,電子零組件業,ESVUFR
2062,橋椿,居家生活,ESVUFR
2069,運錩,鋼鐵工業,ESVUFR
2101,南港,橡膠工業,ESVUFR
2102,泰豐,橡膠工業,ESVUFR
2103,台橡,橡膠工業,ESVUFR
2104,國際中橡,橡膠工業,ESVUFR
2105,正新,橡膠工業,ESVUFR
2106,建大,橡膠工業,ESVUFR
2107,厚生,橡膠工業,ESVUFR
2108,南帝,橡膠工業,ESVUFR
2109,華豐,橡膠工業,ESVUFR
2114,鑫永銓,橡膠工業,ESVUFR
2115,六暉-KY,汽車工業,ESVUFR
2201,裕隆,汽車工業,ESVUFR
2204,中華,汽車工業,ESVUFR
2206,三陽工業,汽車工業,ESVUFR
2207,和泰車,汽車工業,ESVUFR
2208,台船,航運業,ESVUFR
2211,長榮鋼,鋼鐵工業,ESVUFR
2227,裕日車,汽車工業,ESVUFR
2228,劍麟,汽車工業,ESVUFR
2231,為升,汽車工業,ESVUFR
2233,宇隆,汽車工業,ESVUFR
2236,百達-KY,汽車工業,ESVUFR
2239,英利-KY,汽車工業,ESVUFR
2241,艾姆勒,汽車工業,ESVUFR
2243,宏旭-KY,汽車工業,ESVUFR
2247,汎德永業,汽車工業,ESVUFR
2248,華勝-KY,汽車工業,ESVUFR
2250,IKKA-KY,汽車工業,ESVUFR
2301,光寶科,電腦及週邊設備業,ESVUFR
2302,麗正,半導體業,ESVUFR
2303,聯電,半導體業,ESVUFR
2305,全友,電腦及週邊設備業,ESVUFR
2308,台達電,電子零組件業,ESVUFR
2312,金寶,其他電子業,ESVUFR
2313,華通,電子零組件業,ESVUFR
2314,台揚,通信網路業,ESVUFR
2316,楠梓電,電子零組件業,ESVUFR
2317,鴻海,其他電子業,ESVUFR
2321,東訊,通信網路業,ESVUFR
2323,中環,光電業,ESVUFR
2324,仁寶,電腦及週邊設備業,ESVUFR
2327,國巨*,電子零組件業,ESVUFR
2328,廣宇,電子零組件業,ESVUFR
2329,華泰,半導體業,ESVUFR
2330,台積電,半導體業,ESVUFR
2331,精英,電腦及週邊設備業,ESVUFR
2332,友訊,通信網路業,ESVUFR
2337,旺宏,半導體業,ESVUFR
2338,光罩,半導體業,ESVUFR
2340,台亞,半導體業,ESVUFR
2342,茂矽,半導體業,ESVUFR
2344,華邦電,半導體業,ESVUFR
2345,智邦,通信網路業,ESVUFR
2347,聯強,電子通路業,ESVUFR
2348,海悅,其他業,ESVUFR
2348A,海悅甲特,其他業,EPNNFB
2349,錸德,光電業,ESVUFR
2351,順德,半導體業,ESVUFR
2352,佳世達,電腦及週邊設備業,ESVUFR
2353,宏��,電腦及週邊設備業,ESVUFR
2354,鴻準,其他電子業,ESVUFR
2355,敬鵬,電子零組件業,ESVUFR
2356,英業達,電腦及週邊設備業,ESVUFR
2357,華碩,電腦及週邊設備業,ESVUFR
2359,所羅門,其他電子業,ESVUFR
2360,致茂,其他電子業,ESVUFR
2362,藍天,電腦及週邊設備業,ESVUFR
2363,矽統,半導體業,ESVUFR
2364,倫飛,電腦及週邊設備業,ESVUFR
2365,昆盈,電腦及週邊設備業,ESVUFR
2367,燿華,電子零組件業,ESVUFR
2368,金像電,電子零組件業,ESVUFR
2369,菱生,半導體業,ESVUFR
